YEAR,DATE,ROAD_CLASS,District,LATITUDE,LONGITUDE,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,INVTYPE,INVAGE,INJURY,INITDIR,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Ward_Name,Ward_ID,Hood_ID,Hood_Name
2011,04-08-2011 09:30,Major Arterial,Toronto East York,43.65154538,-79.38349029,No,Clear,Natural,Dry,Non-Fatal Injury,Driver,50 to 54,None,West,Yes, , , , ,Yes, , , , , , , ,Toronto Centre-Rosedale (27),27,76,Bay Street Corridor (76)
2012,19-08-2012 09:30,Major Arterial,Scarborough,43.78044538,-79.30049029,No,Clear,Artificial,Dry,Non-Fatal Injury,Passenger,25 to 29,Minimal,Unknown,Yes, ,Yes, , , , ,Yes,Yes,Yes, , , ,Scarborough-Agincourt (40),40,118,Tam O'Shanter-Sullivan (118)
2015,30-12-2015 10:30,Major Arterial,Toronto East York,43.68234213,-79.32826624,No,Clear,Artificial,Dry,Fatal,Pedestrian,60 to 64,Fatal,South,Yes, ,Yes, , , , , , ,Yes, , , ,Toronto-Danforth (30),30,65,Greenwood-Coxwell (65)
2012,19-08-2012 09:30,Major Arterial,Scarborough,43.78044538,-79.30049029,No,Clear,Artificial,Dry,Non-Fatal Injury,Vehicle Owner,unknown,unknown,Unknown,Yes, ,Yes, , , , ,Yes,Yes,Yes, , , ,Scarborough-Agincourt (40),40,118,Tam O'Shanter-Sullivan (118)
2012,19-08-2012 09:30,Major Arterial,Scarborough,43.78044538,-79.30049029,No,Clear,Artificial,Dry,Non-Fatal Injury,Driver,60 to 64,None,West,Yes, ,Yes, , , , ,Yes,Yes,Yes, , , ,Scarborough-Agincourt (40),40,118,Tam O'Shanter-Sullivan (118)
2012,19-08-2012 09:30,Major Arterial,Scarborough,43.78044538,-79.30049029,No,Clear,Artificial,Dry,Non-Fatal Injury,Pedestrian,65 to 69,Major,North,Yes, ,Yes, , , , ,Yes,Yes,Yes, , , ,Scarborough-Agincourt (40),40,118,Tam O'Shanter-Sullivan (118)
2017,20-10-2017 09:30,Major Arterial,Etobicoke York,43.62520138,-79.52851529,Yes,Clear,Artificial,Dry,Non-Fatal Injury,Driver,60 to 64,None,East,Yes, ,Yes, , , , , , ,Yes, , , ,Etobicoke-Lakeshore (5),5,14,Islington-City Centre West (14)
2017,20-10-2017 09:30,Major Arterial,Etobicoke York,43.62520138,-79.52851529,Yes,Clear,Artificial,Dry,Non-Fatal Injury,Pedestrian,45 to 49,Major,Unknown,Yes, ,Yes, , , , , , ,Yes, , , ,Etobicoke-Lakeshore (5),5,14,Islington-City Centre West (14)
2009,26-02-2009 10:30,Minor Arterial,Toronto East York,43.66324538,-79.33019029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Driver,35 to 39,None,West,Yes, ,Yes, , , , , , ,Yes, , , ,Beaches-East York (32),32,65,Greenwood-Coxwell (65)
2009,26-02-2009 10:30,Minor Arterial,Toronto East York,43.66324538,-79.33019029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Pedestrian,25 to 29,Major,Unknown,Yes, ,Yes, , , , , , ,Yes, , , ,Beaches-East York (32),32,65,Greenwood-Coxwell (65)
2014,02-08-2014 09:30,Major Arterial,North York,43.74635275,-79.48295222,No,Clear,Artificial,Dry,Non-Fatal Injury,Driver,35 to 39,None,West,Yes, ,Yes,Yes, , , , ,Yes,Yes, , , ,York Centre (9),9,26,Downsview-Roding-CFB (26)
2014,02-08-2014 09:30,Major Arterial,North York,43.74635275,-79.48295222,No,Clear,Artificial,Dry,Non-Fatal Injury,Motorcycle Driver,15 to 19,Minor,West,Yes, ,Yes,Yes, , , , ,Yes,Yes, , , ,York Centre (9),9,26,Downsview-Roding-CFB (26)
2014,02-08-2014 09:30,Major Arterial,North York,43.74635275,-79.48295222,No,Clear,Artificial,Dry,Non-Fatal Injury,Pedestrian,15 to 19,Major,North,Yes, ,Yes,Yes, , , , ,Yes,Yes, , , ,York Centre (9),9,26,Downsview-Roding-CFB (26)
2017,21-11-2017 10:30,Major Arterial,Toronto East York,43.64025839,-79.38315211,Yes,Clear,Artificial,Dry,Non-Fatal Injury,Driver,55 to 59,None,North,Yes, ,Yes, , , , , , ,Yes, , , ,Trinity-Spadina (20),20,77,Waterfront Communities-The Island (77)
2017,21-11-2017 10:30,Major Arterial,Toronto East York,43.64025839,-79.38315211,Yes,Clear,Artificial,Dry,Non-Fatal Injury,Pedestrian,60 to 64,Major,North,Yes, ,Yes, , , , , , ,Yes, , , ,Trinity-Spadina (20),20,77,Waterfront Communities-The Island (77)
2017,21-11-2017 10:30,Major Arterial,Toronto East York,43.64025839,-79.38315211,Yes,Clear,Artificial,Dry,Non-Fatal Injury,Pedestrian,25 to 29,None,North,Yes, ,Yes, , , , , , ,Yes, , , ,Trinity-Spadina (20),20,77,Waterfront Communities-The Island (77)
2008,04-05-2008 09:30,Major Arterial,North York,43.71454538,-79.45479029,No,Clear,Natural,Dry,Non-Fatal Injury,Vehicle Owner,unknown,unknown,Unknown, , ,Yes, , , , , , , , ,Yes, ,Eglinton-Lawrence (15),15,31,Yorkdale-Glen Park (31)
2008,04-05-2008 09:30,Major Arterial,North York,43.71454538,-79.45479029,No,Clear,Natural,Dry,Non-Fatal Injury,Driver,55 to 59,Major,South, , ,Yes, , , , , , , , ,Yes, ,Eglinton-Lawrence (15),15,31,Yorkdale-Glen Park (31)
